time,state_f,state_estimated,drag_effect,state_model_guess,state_model_optimized
81.938995,1.667946,-59.630383,-61.298329,-10.508994093078071,-53.510788621700485
81.940956,1.628273,-59.711571,-61.339844,-10.549917054634722,-53.71131889948218
81.942909,1.802017,-59.791981,-61.593998,-10.589571649534196,-53.90969534390781
81.944855,1.898224,-59.871624,-61.769847999999996,-10.631244210259547,-54.098777273444114
81.946808,1.625732,-59.950691,-61.576423,-10.672634724522254,-54.28396704569816
81.948769,1.481628,-60.028782,-61.51041,-10.709718612075186,-54.47465847358008
81.950714,1.800148,-60.104992,-61.90514,-10.74638735827672,-54.662255019338396
81.952667,1.980965,-60.178967,-62.159932,-10.78644921383207,-54.83729203645092
81.95462,1.854301,-60.250618,-62.104919,-10.822267234375438,-55.01641145184197
81.956573,2.040466,-60.319855,-62.360321,-10.855530097077352,-55.1969926274119
81.958527,2.434658,-60.387428,-62.822086,-10.89133649967233,-55.36895274294491
81.96048,2.536144,-60.454163,-62.990307,-10.92683861897348,-55.53751457567066
81.962433,2.506077,-60.520138,-63.026215,-10.960221972499447,-55.705618322060495
81.964386,2.558075,-60.585598,-63.143673,-10.993516688430898,-55.86996273659722
81.966339,2.650864,-60.651104,-63.301967999999995,-11.030687144586802,-56.05739200625811
81.968292,2.827038,-60.717148,-63.544186,-11.071178708065228,-56.26781288560927
81.970245,2.99799,-60.783817,-63.781807,-11.112337203213459,-56.47161770415644
81.972198,3.012581,-60.851536,-63.864117,-11.152421306209606,-56.6727709668894
81.974152,3.050491,-60.920975,-63.971466,-11.190246911001903,-56.87411970099993
81.976105,3.216179,-60.99234,-64.208519,-11.228228051466996,-57.071146808309095
81.978058,3.282761,-61.066078,-64.348839,-11.267071917530975,-57.261885264997176
81.980011,3.322384,-61.142567,-64.464951,-11.302484251475846,-57.4555547539284
81.981964,3.481789,-61.221565,-64.703354,-11.338523946924127,-57.64302669445712
81.983917,3.412016,-61.302807,-64.714823,-11.377029277377392,-57.82107579527247
81.98587,3.221312,-61.386288,-64.6076,-11.410519725981352,-58.006034918286204
81.987823,3.429054,-61.471928,-64.900982,-11.442716336126676,-58.1892479976582
81.989777,3.646505,-61.559929,-65.206434,-11.478478121438693,-58.36048565025673
81.99173,3.363321,-61.650841,-65.014162,-11.513925832941597,-58.52774807413673
81.99369,3.184881,-61.744568,-64.929449,-11.542842606271913,-58.705219798639035
81.995636,3.522255,-61.840824,-65.363079,-11.573385661825721,-58.876345019033025
81.997589,3.671994,-61.940052,-65.612046,-11.607207801824709,-59.03621804297338
81.999542,3.451877,-62.042797,-65.494674,-11.64466108469675,-59.23277347694281
82.001503,3.417069,-62.149036,-65.56610500000001,-11.686367310656365,-59.466151308281894
82.003448,3.482627,-62.258705,-65.741332,-11.730993579620808,-59.68972125946957
82.005402,3.380468,-62.372173,-65.752641,-11.773904148504789,-59.91157741664902
82.007362,3.203587,-62.489445,-65.693032,-11.816836608484113,-60.12757843084878
82.009308,2.865265,-62.610447,-65.475712,-11.860240224213644,-60.33740143465314
82.011261,2.549915,-62.735466,-65.285381,-11.89992711665592,-60.55071479405197
82.013229,2.669352,-62.864197,-65.533549,-11.937353056363115,-60.76471585524551
82.015167,2.842283,-62.996037,-65.83832,-11.978761363751746,-60.966135288918245
82.017128,2.64135,-63.1306,-65.77195,-12.018242793810153,-61.1665545438413
82.019073,2.524811,-63.267403,-65.792214,-12.054239436692903,-61.36937655489589
82.021027,2.662945,-63.406101,-66.069046,-12.091744496267049,-61.56475027161186
82.02301,2.522289,-63.546524,-66.06881299999999,-12.131497391768741,-61.75091659880998
82.024933,2.263382,-63.688038,-65.95142,-12.165474078984717,-61.94442992935574
82.026886,2.30349,-63.8297,-66.13319,-12.199943107881737,-62.131843378552894
82.028839,2.17897,-63.971436,-66.150406,-12.237886135313639,-62.30820227299244
82.030792,1.840164,-64.113586,-65.95375,-12.271193872212814,-62.49018676409032
82.032745,1.832325,-64.255653,-66.08797799999999,-12.309260735466053,-62.701278619576215
82.034706,1.948841,-64.397186,-66.346027,-12.354270719602905,-62.93790853705493
82.036652,1.835926,-64.538498,-66.374424,-12.399437038670179,-63.16906060632365
82.038605,1.724083,-64.679832,-66.403915,-12.441817542081406,-63.40060548159643
82.040558,1.754421,-64.82135,-66.57577099999999,-12.484203980847134,-63.62779081366575
82.042511,1.781548,-64.962814,-66.744362,-12.526025444276682,-63.85119695377963
82.044464,1.847343,-65.10334,-66.950683,-12.565458564768234,-64.07357255651824
82.046417,1.810032,-65.24263,-67.05266200000001,-12.60763317042048,-64.28486543287168
82.04837,1.495693,-65.380798,-66.876491,-12.647879048153621,-64.49547375897384
82.050323,1.398239,-65.517288,-66.915527,-12.683276440686432,-64.71159302481794
82.052277,1.649017,-65.651878,-67.300895,-12.720719820284955,-64.91895901843887
82.05423,1.544167,-65.785049,-67.329216,-12.762484256469632,-65.11249038533585
82.056183,1.062675,-65.91629,-66.978965,-12.79959245241377,-65.31032044257806
82.058136,0.942261,-66.044403,-66.986664,-12.83297491986291,-65.51107917188867
82.060089,1.136887,-66.169373,-67.30626,-12.868130654878966,-65.70478310201877
82.062042,1.060738,-66.292297,-67.353035,-12.905299042375741,-65.88974810011018
82.063995,0.821625,-66.413231,-67.234856,-12.938264400314242,-66.077752958439
82.065948,0.723976,-66.531303,-67.25527899999999,-12.97110796180369,-66.2612471913416
82.067902,0.672188,-66.646332,-67.31852,-13.008888087024877,-66.4702975813646
82.069855,0.650131,-66.758163,-67.408294,-13.05167860351094,-66.70364586935729
82.071808,0.543015,-66.867271,-67.410286,-13.095488267686084,-66.92906120682966
82.073761,0.203285,-66.974594,-67.17787899999999,-13.137985627085722,-67.15191535991669
82.075714,-0.029572,-67.080376,-67.050804,-13.177149952424687,-67.37636867153881
82.077667,-0.022255,-67.184586,-67.162331,-13.217428159746648,-67.59403504650885
82.07962,-0.154007,-67.287155,-67.133148,-13.258319932441449,-67.80548663599609
82.081573,-0.397789,-67.3881,-66.99031099999999,-13.29634773446484,-68.0172223233095
82.084503,-0.495544,-67.487152,-66.991608,-13.333846615160322,-68.22522386699525
